team_name,color,logo
Arsenal,#EF0107,https://upload.wikimedia.org/wikipedia/sco/thumb/5/53/Arsenal_FC.svg/204px-Arsenal_FC.svg.png
Aston Villa,#95BFE5,https://upload.wikimedia.org/wikipedia/de/thumb/9/9f/Aston_Villa_logo.svg/171px-Aston_Villa_logo.svg.png
Bournemouth,#DA291C,https://upload.wikimedia.org/wikipedia/sco/thumb/e/e5/AFC_Bournemouth_%282013%29.svg/183px-AFC_Bournemouth_%282013%29.svg.png
Brighton,#0057B8,https://upload.wikimedia.org/wikipedia/sco/thumb/f/fd/Brighton_%26_Hove_Albion_logo.svg/240px-Brighton_%26_Hove_Albion_logo.svg.png
Burnley,#6C1D45,https://upload.wikimedia.org/wikipedia/fr/thumb/7/76/Logo_Burnley_FC_2015.svg/206px-Logo_Burnley_FC_2015.svg.png
Chelsea,#034694,https://upload.wikimedia.org/wikipedia/sco/thumb/c/cc/Chelsea_FC.svg/209px-Chelsea_FC.svg.png
Crystal Palace,#1B458F,https://upload.wikimedia.org/wikipedia/sco/thumb/0/0c/Crystal_Palace_FC_logo.svg/192px-Crystal_Palace_FC_logo.svg.png
Everton,#003399,https://upload.wikimedia.org/wikipedia/sco/thumb/7/7c/Everton_FC_logo.svg/235px-Everton_FC_logo.svg.png
Leicester City,#003090,https://upload.wikimedia.org/wikipedia/sco/thumb/2/2d/Leicester_City_crest.svg/240px-Leicester_City_crest.svg.png
Liverpool,#C8102E,https://upload.wikimedia.org/wikipedia/sco/thumb/0/0c/Liverpool_FC.svg/177px-Liverpool_FC.svg.png
Manchester City,#6CABDD,https://upload.wikimedia.org/wikipedia/sco/thumb/e/eb/Manchester_City_FC_badge.svg/240px-Manchester_City_FC_badge.svg.png
Manchester Utd,#DA291C,https://upload.wikimedia.org/wikipedia/sco/thumb/7/7a/Manchester_United_FC_crest.svg/237px-Manchester_United_FC_crest.svg.png
Newcastle Utd,#241F20,https://upload.wikimedia.org/wikipedia/sco/thumb/5/56/Newcastle_United_Logo.svg/238px-Newcastle_United_Logo.svg.png
Norwich,#FFF200,https://upload.wikimedia.org/wikipedia/fr/thumb/8/8c/Norwich_City.svg/215px-Norwich_City.svg.png
Sheffield Utd,#EE2737,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/SUFC_logo.svg/240px-SUFC_logo.svg.png
Southampton,#D71920,https://upload.wikimedia.org/wikipedia/sco/thumb/c/c9/FC_Southampton.svg/210px-FC_Southampton.svg.png
Tottenham,#132257,https://upload.wikimedia.org/wikipedia/sco/thumb/b/b4/Tottenham_Hotspur.svg/121px-Tottenham_Hotspur.svg.png
Watford,#FBEE23,https://upload.wikimedia.org/wikipedia/sco/thumb/e/e2/Watford.svg/215px-Watford.svg.png
West Ham,#7A263A,https://upload.wikimedia.org/wikipedia/sco/thumb/c/c2/West_Ham_United_FC_logo.svg/216px-West_Ham_United_FC_logo.svg.png
Wolves,#FDB913,https://upload.wikimedia.org/wikipedia/sco/thumb/f/fc/Wolverhampton_Wanderers.svg/240px-Wolverhampton_Wanderers.svg.png
Fulham,#CC0000,https://upload.wikimedia.org/wikipedia/fr/thumb/c/ce/Logo_Fulham.svg/180px-Logo_Fulham.svg.png
Leeds United,#FFCD00,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Leeds_United_F.C._logo.svg/391px-Leeds_United_F.C._logo.svg.png
West Brom,#122F67,https://upload.wikimedia.org/wikipedia/sco/thumb/8/8b/West_Bromwich_Albion.svg/201px-West_Bromwich_Albion.svg.png
Brentford,#3E2415,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Brentford_FC_crest.svg/240px-Brentford_FC_crest.svg.png
